speech_id,topics
1130000343,"federalism, foreign"
1130000344,"foreign, justice, minorities"
1130000345,"elections, federalism"
1130000346,None
1130000347,None
1130000348,None
1130000349,elections
1130000350,federalism
1130000351,"elections, minorities"
1130000352,None
1130000353,None
1130000354,federalism
1130000355,"justice, minorities"
1130000356,None
1130000357,None
1130000358,minorities
1130000359,None
1130000360,"environment, federalism"
1130000361,None
1130000362,"elections, foreign"
1130000363,None
1130000364,None
1130000365,federalism
1130000366,None
1130000367,None
1130000368,None
1130000369,None
1130000370,None
1130000371,None
1130000372,None
1130000373,"elections, federalism, justice, labor, minorities, money, government"
1130000374,None
1130000375,None
1130000376,None
1130000377,None
1130000378,None
1130000379,"justice, minorities"
1130000380,"defense, federalism"
1130000381,"justice, minorities"
1130000382,None
1130000383,money
1130000384,"elections, federalism, labor"
1130000385,None
1130000386,"elections, foreign, labor"
1130000387,"foreign, labor"
1130000388,"federalism, foreign, money"
1130000389,foreign
1130000390,None
1130000391,None
1130000392,None
1130000393,elections
1130000394,None
1130000395,None
1130000396,None
1130000397,None
1130000398,None
1130000399,None
1130000400,None
1130000401,None
1130000402,federalism
1130000403,federalism
1130000404,None
1130000405,"elections, federalism"
1130000406,elections
1130000407,None
1130000408,None
1130000409,None
1130000410,justice
1130000411,None
1130000412,None
1130000413,None
1130000414,"budget, business, elections, federalism, labor"
1130000415,justice
1130000416,None
1130000417,None
1130000418,"elections, federalism, health, labor"
1130000419,None
1130000420,None
1130000421,"business, federalism, foreign, government, immigration, justice, labor, tax"
1130000422,"budget, elections, government, justice, minorities, tax"
1130000423,"budget, defense, education, foreign, labor, minorities"
1130000424,"business, education, federalism, justice, labor, minorities"
1130000425,"budget, business, defense, elections, environment, justice, labor, minorities, money"
1130000426,"alcohol, budget, defense, federalism, money"
1130000427,None
1130000428,justice
1130000429,elections
1130000430,None
1130000431,None
1130000432,None
1130000433,None
1130000434,None
1130000435,None
1130000436,religion
1130000437,None
1130000438,None
1130000439,defense
1130000440,"education, federalism"
1130000441,"elections, minorities"
1130000442,"crime, health, money, tax"
1130000443,None
1130000444,"federalism, health, justice"
1130000445,elections
1130000446,"business, crime, government, justice, minorities, mail"
1130000447,"defense, economy, education, foreign, health"
1130000448,"alcohol, defense, federalism"
1130000449,"defense, education, foreign"
1130000450,None
1130000451,"education, federalism, immigration, labor"
1130000452,"budget, defense, economy, labor"
1130000453,"elections, foreign, minorities"
1130000454,None
1130000455,"federalism, minorities, government"
1130000456,"alcohol, federalism, labor"
1130000457,"business, defense, labor"
1130000458,"budget, business, elections, health, labor, tax"
1130000459,None
1130000460,elections
1130000461,None
1130000462,None
1130000463,None
1130000464,None
1130000465,"budget, economy, immigration, labor, money, defense"
1130000466,None
1130000467,"health, labor, tax"
1130000468,health
1130000469,None
1130000470,None
1130000471,None
1130000472,None
1130000473,None
1130000474,None
1130000475,None
1130000476,None
1130000477,None
1130000478,None
1130000479,None
1130000480,None
1130000481,None
1130000482,"federalism, minorities"
1130000483,federalism
1130000484,None
1130000485,None
1130000486,None
1130000487,None
1130000488,"federalism, foreign"
1130000489,None
1130000490,"elections, labor"
1130000491,None
1130000492,"defense, minorities"
1130000493,None
1130000494,None
1130000495,"budget, elections, federalism, foreign, labor, minorities, money"
1130000496,"budget, federalism"
1130000497,labor
1130000498,"elections, federalism"
1130000499,"federalism, minorities"
1130000500,None
1130000501,None
1130000502,None
1130000503,None
1130000504,None
1130000505,None
1130000506,None
1130000507,None
1130000508,elections
1130000509,elections
1130000510,None
1130000511,elections
1130000512,elections
1130000513,elections
1130000514,"foreign, health, immigration, justice, minorities"
1130000515,None
1130000516,None
1130000517,None
1130000518,None
1130000519,elections
1130000520,None
1130000521,crime
1130000522,business
1130000523,"justice, minorities"
1130000524,tax
1130000525,"crime, justice, minorities"
1130000526,federalism
1130000527,None
1130000528,None
1130000529,None
1130000530,"crime, health"
1130000531,"business, crime, education, elections, foreign, health, minorities, religion"
1130000532,None
1130000533,"crime, defense, education, health, labor, minorities"
1130000534,None
1130000535,"health, justice, minorities"
1130000536,None
1130000537,"crime, federalism, health, minorities"
1130000538,None
1130000539,"health, justice, minorities"
1130000540,None
